序号,代码,名称,最新价 10:28,涨跌幅(%) 10:28,涨跌幅(%) 2026.07.09,成交额 10:28,成交额 2026.07.09,上涨家数(家) 2026.07.09,下跌家数(家) 2026.07.09,指数小类,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(TTM) 2026.07.10,总市值(元) 2026.07.10
1,850813,半导体材料(申万),-,0.00,10.31,-,729.37亿,26,0,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
2,850817,集成电路封测(申万),-,0.00,10.25,-,697.92亿,13,0,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
3,850818,半导体设备(申万),-,0.00,9.56,-,864.42亿,23,0,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
4,861499,存储芯片,3489.76,1.65,8.92,2908.24亿,4868.70亿,122,5,东财概念,56.76,3554.85,3430.36,0.00,2.66,36.33亿,0.00,0.00
5,801081,半导体(申万),14059.18,1.52,8.58,3379.06亿,5918.69亿,172,3,申万二级行业,210.07,14284.45,13775.56,0.00,2.45,30.65亿,0.00,0.00
6,861331,中芯概念,2277.67,1.06,8.57,1488.09亿,2550.07亿,58,5,东财概念,23.95,2323.73,2241.45,0.00,2.50,19.25亿,0.00,0.00
7,861463,先进封装,5739.96,1.68,8.27,1022.47亿,1663.75亿,51,0,东财概念,94.68,5825.86,5628.29,0.00,2.55,14.58亿,0.00,0.00
8,861514,高带宽内存,3076.73,1.61,8.25,619.43亿,1045.57亿,25,1,东财概念,48.68,3122.71,3025.48,0.00,2.60,5.69亿,0.00,0.00
9,861542,华为海思,2815.21,3.25,7.78,521.72亿,851.27亿,33,7,东财概念,88.56,2851.44,2768.87,0.00,2.37,10.16亿,0.00,0.00
10,850814,数字芯片设计(申万),-,0.00,7.77,-,2416.94亿,52,1,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
