序号,代码,名称,最新价 2026.06.26,涨跌幅(%) 2026.06.26,成交额 2026.06.26,上涨家数(家) 2026.06.26,下跌家数(家) 2026.06.26,指数小类,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(TTM) 2026.06.26,总市值(元) 2026.06.26
1,861591,昨日打二板以上表现,6322.30,8.42,33.22亿,0,0,东财概念,490.99,6352.71,6065.75,0.00,0.21,1.69亿,104.07,2611.85亿
2,857411,航天装备Ⅲ(申万),30690.22,6.92,178.73亿,0,0,申万三级行业,1987.53,31284.87,27622.78,0.00,1.85,4.98亿,447.79,4496.76亿
3,801741,航天装备Ⅱ(申万),30689.60,6.92,178.73亿,0,0,申万二级行业,1987.49,31284.24,27622.22,0.00,1.85,4.98亿,447.79,4496.76亿
4,857122,玻纤制造(申万),159701.39,5.23,457.48亿,0,0,申万三级行业,7942.19,166017.08,151389.14,0.00,0.98,8.33亿,92.47,1.01万亿
5,801712,玻璃玻纤(申万),34286.23,4.95,508.73亿,0,0,申万二级行业,1617.13,35663.14,32516.83,0.00,1.03,16.15亿,98.25,1.07万亿
6,850813,半导体材料(申万),19828.87,4.70,824.47亿,0,0,申万三级行业,890.30,20623.90,18340.40,0.00,1.27,10.98亿,258.50,1.27万亿
7,861384,空间站概念,1926.85,3.33,179.91亿,0,0,东财概念,62.08,1952.63,1813.80,0.00,1.39,6.53亿,326.49,3445.67亿
8,850818,半导体设备(申万),89624.46,3.09,757.78亿,0,0,申万三级行业,2690.21,92204.99,85006.46,0.00,1.04,3.44亿,150.15,2.57万亿
9,857355,光伏加工设备(申万),2601.43,3.08,174.71亿,0,0,申万三级行业,77.85,2688.16,2445.84,0.00,1.18,2.36亿,55.22,3447.45亿
10,850136,有机硅(申万),5413.73,3.08,67.74亿,0,0,申万三级行业,161.79,5531.30,5036.45,0.00,1.16,2.97亿,72.20,1349.81亿
