序号,代码,名称,最新价 11:19,涨跌幅(%) 11:19,涨跌幅(%) 2026.07.06,成交额 11:19,成交额 2026.07.06,上涨家数(家) 2026.07.09,下跌家数(家) 2026.07.09,指数小类,涨跌额(元) 11:19,最高价(元) 11:19,最低价(元) 11:19,换手率(%) 11:19,量比 11:19,成交量(股) 11:19,市盈率(TTM) 2026.07.10,总市值(元) 2026.07.10
1,861341,EDA概念,1143.10,-1.13,4.92,114.15亿,148.82亿,10,2,东财概念,-13.06,1173.94,1135.88,0.00,1.72,1.97亿,0.00,0.00
2,850172,生猪养殖(申万),-,0.00,4.77,-,80.58亿,7,4,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
3,850142,畜禽饲料(申万),-,0.00,4.57,-,22.85亿,3,7,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
4,859511,动力煤(申万),-,0.00,4.55,-,105.36亿,0,15,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
5,801017,养殖业(申万),2591.35,2.85,4.49,52.98亿,103.71亿,9,11,申万二级行业,71.74,2600.58,2472.70,0.00,1.56,5.04亿,0.00,0.00
6,801951,煤炭开采(申万),3409.42,0.17,4.27,50.45亿,137.29亿,0,26,申万二级行业,5.78,3415.86,3325.01,0.00,1.19,5.03亿,0.00,0.00
7,801950,煤炭(申万),2975.19,0.36,4.11,56.79亿,143.68亿,3,30,申万一级行业,10.79,2980.07,2896.13,0.00,1.40,7.19亿,0.00,0.00
8,850817,集成电路封测(申万),-,0.00,3.90,-,575.66亿,13,0,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
9,861204,猪肉概念,1401.95,2.36,3.69,73.34亿,144.22亿,13,22,东财概念,32.33,1406.71,1349.19,0.00,1.60,8.64亿,0.00,0.00
10,858812,摩托车(申万),-,0.00,3.62,-,28.61亿,4,4,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
