序号,代码,名称,最新价 2026.06.26,涨跌幅(%) 2026.06.26,涨跌幅(%) 2026.06.22,成交额 2026.06.26,成交额 2026.06.22,上涨家数(家) 2026.06.26,下跌家数(家) 2026.06.26,指数小类,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(TTM) 2026.06.26,总市值(元) 2026.06.26
1,861553,虚拟机器人,1222.03,-4.57,9.01,387.40亿,547.69亿,0,0,东财概念,-58.49,1279.29,1219.86,0.00,0.83,11.98亿,43.29,7143.80亿
2,850326,钛白粉(申万),683.91,-2.44,8.83,18.91亿,37.22亿,0,0,申万三级行业,-17.11,711.04,677.88,0.00,0.70,2.71亿,62.34,708.93亿
3,850382,氟化工(申万),10002.21,-2.85,8.55,228.55亿,276.53亿,0,0,申万三级行业,-293.21,10568.47,9833.75,0.00,0.83,5.46亿,43.95,3841.97亿
4,861591,昨日打二板以上表现,6322.30,8.42,8.34,33.22亿,46.05亿,0,0,东财概念,490.99,6352.71,6065.75,0.00,0.21,1.69亿,104.07,2611.85亿
5,850553,铅锌(申万),5542.92,-4.16,8.31,228.94亿,212.06亿,0,0,申万三级行业,-240.67,5953.30,5436.38,0.00,0.95,15.74亿,27.38,3377.50亿
6,850332,磷肥及磷化工(申万),2339.03,-2.04,8.21,132.55亿,102.39亿,0,0,申万三级行业,-48.74,2458.57,2280.54,0.00,1.00,7.08亿,25.50,2240.34亿
7,861406,培育钻石,1385.92,-2.27,7.92,266.12亿,265.66亿,0,0,东财概念,-32.14,1414.48,1371.56,0.00,0.90,8.27亿,-127.60,3658.88亿
8,851931,证券Ⅲ(申万),6298.92,-3.91,7.69,724.25亿,908.82亿,0,0,申万三级行业,-256.09,6611.77,6279.98,0.00,0.92,57.67亿,15.58,3.67万亿
9,801193,证券Ⅱ(申万),6292.56,-3.91,7.69,724.25亿,908.82亿,0,0,申万二级行业,-255.84,6605.09,6273.65,0.00,0.92,57.67亿,15.58,3.67万亿
10,801054,小金属(申万),46751.74,-3.63,7.55,804.35亿,960.96亿,0,0,申万二级行业,-1762.46,49852.52,46032.03,0.00,0.85,15.91亿,65.62,1.44万亿
