序号,代码,名称,最新价 2026.06.25,涨跌幅(%) 2026.06.25,成交额 2026.06.25,上涨家数(家) 2026.06.24,下跌家数(家) 2026.06.24,指数小类,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(TTM) 2026.06.25,总市值(元) 2026.06.25
1,861368,被动元件概念,2733.13,8.50,1045.03亿,19,10,东财概念,214.09,2741.95,2529.36,0.00,1.02,14.41亿,96.81,1.27万亿
2,861291,MLCC,5780.63,8.09,1249.84亿,22,9,东财概念,432.85,5806.15,5352.09,0.00,1.07,21.30亿,114.38,1.45万亿
3,801712,玻璃玻纤(申万),32669.11,6.93,403.97亿,8,8,申万二级行业,2116.03,32916.00,30861.20,0.00,0.91,14.43亿,0.00,1.01万亿
4,801083,元件(申万),30510.71,6.07,2006.31亿,43,15,申万二级行业,1745.08,30606.55,28667.36,0.00,0.99,26.86亿,0.00,4.10万亿
5,861524,AI手机,2385.99,5.39,875.34亿,19,15,东财概念,122.03,2399.83,2294.69,0.00,1.17,16.64亿,60.07,1.54万亿
6,861463,先进封装,5713.21,5.37,1726.42亿,35,11,东财概念,291.09,5750.45,5474.91,0.00,0.92,22.71亿,196.96,3.25万亿
7,861172,超级电容,5252.58,5.32,863.36亿,17,18,东财概念,265.37,5261.07,5022.77,0.00,1.06,19.74亿,87.76,1.33万亿
8,861420,电子纸概念,1253.60,5.29,486.96亿,2,11,东财概念,63.03,1272.23,1211.14,0.00,1.17,69.02亿,49.31,5115.81亿
9,861526,AIPC,3925.02,5.17,1665.51亿,30,17,东财概念,192.83,3955.16,3780.25,0.00,1.11,22.54亿,68.66,2.71万亿
10,861362,汽车芯片,1523.16,4.93,2080.15亿,49,20,东财概念,71.55,1524.39,1475.65,0.00,1.19,32.61亿,443.84,3.03万亿
